bins	bw_factor	scale_max_percentile	n_colors	row
50	16	percentile_75	1	199
50	16	percentile_75	2	200
50	16	percentile_75	3	201
50	16	percentile_75	4	202
50	16	percentile_75	5	203
50	16	percentile_75	6	204
50	16	percentile_75	7	205
50	16	percentile_75	8	206
50	16	percentile_75	9	207
50	16	percentile_75	10	208
50	16	percentile_75	11	209
50	16	percentile_90	1	210
50	16	percentile_90	2	211
50	16	percentile_90	3	212
50	16	percentile_90	4	213
50	16	percentile_90	5	214
50	16	percentile_90	6	215
50	16	percentile_90	7	216
50	16	percentile_90	8	217
50	16	percentile_90	9	218
50	16	percentile_90	10	219
50	16	percentile_90	11	220
50	16	percentile_95	1	221
50	16	percentile_95	2	222
50	16	percentile_95	3	223
50	16	percentile_95	4	224
50	16	percentile_95	5	225
50	16	percentile_95	6	226
50	16	percentile_95	7	227
50	16	percentile_95	8	228
50	16	percentile_95	9	229
50	16	percentile_95	10	230
50	16	percentile_95	11	231
100	4	percentile_75	1	232
100	4	percentile_75	2	233
100	4	percentile_75	3	234
100	4	percentile_75	4	235
100	4	percentile_75	5	236
100	4	percentile_75	6	237
100	4	percentile_75	7	238
100	4	percentile_75	8	239
100	4	percentile_75	9	240
100	4	percentile_75	10	241
100	4	percentile_75	11	242
100	4	percentile_90	1	243
100	4	percentile_90	2	244
100	4	percentile_90	3	245
100	4	percentile_90	4	246
100	4	percentile_90	5	247
100	4	percentile_90	6	248
100	4	percentile_90	7	249
100	4	percentile_90	8	250
100	4	percentile_90	9	251
100	4	percentile_90	10	252
100	4	percentile_90	11	253
100	4	percentile_95	1	254
100	4	percentile_95	2	255
100	4	percentile_95	3	256
100	4	percentile_95	4	257
100	4	percentile_95	5	258
100	4	percentile_95	6	259
100	4	percentile_95	7	260
100	4	percentile_95	8	261
100	4	percentile_95	9	262
100	4	percentile_95	10	263
100	4	percentile_95	11	264
100	6	percentile_75	1	265
100	6	percentile_75	2	266
100	6	percentile_75	3	267
100	6	percentile_75	4	268
100	6	percentile_75	5	269
100	6	percentile_75	6	270
100	6	percentile_75	7	271
100	6	percentile_75	8	272
100	6	percentile_75	9	273
100	6	percentile_75	10	274
100	6	percentile_75	11	275
100	6	percentile_90	1	276
100	6	percentile_90	2	277
100	6	percentile_90	3	278
100	6	percentile_90	4	279
100	6	percentile_90	5	280
100	6	percentile_90	6	281
100	6	percentile_90	7	282
100	6	percentile_90	8	283
100	6	percentile_90	9	284
100	6	percentile_90	10	285
100	6	percentile_90	11	286
100	6	percentile_95	1	287
100	6	percentile_95	2	288
100	6	percentile_95	3	289
100	6	percentile_95	4	290
100	6	percentile_95	5	291
100	6	percentile_95	6	292
100	6	percentile_95	7	293
100	6	percentile_95	8	294
100	6	percentile_95	9	295
100	6	percentile_95	10	296
100	6	percentile_95	11	297
100	8	percentile_75	1	298
100	8	percentile_75	2	299
100	8	percentile_75	3	300
100	8	percentile_75	4	301
100	8	percentile_75	5	302
100	8	percentile_75	6	303
100	8	percentile_75	7	304
100	8	percentile_75	8	305
100	8	percentile_75	9	306
100	8	percentile_75	10	307
100	8	percentile_75	11	308
100	8	percentile_90	1	309
100	8	percentile_90	2	310
100	8	percentile_90	3	311
100	8	percentile_90	4	312
100	8	percentile_90	5	313
100	8	percentile_90	6	314
100	8	percentile_90	7	315
100	8	percentile_90	8	316
100	8	percentile_90	9	317
100	8	percentile_90	10	318
100	8	percentile_90	11	319
100	8	percentile_95	1	320
100	8	percentile_95	2	321
100	8	percentile_95	3	322
100	8	percentile_95	4	323
100	8	percentile_95	5	324
100	8	percentile_95	6	325
100	8	percentile_95	7	326
100	8	percentile_95	8	327
100	8	percentile_95	9	328
100	8	percentile_95	10	329
100	8	percentile_95	11	330
100	10	percentile_75	1	331
100	10	percentile_75	2	332
100	10	percentile_75	3	333
100	10	percentile_75	4	334
100	10	percentile_75	5	335
100	10	percentile_75	6	336
100	10	percentile_75	7	337
100	10	percentile_75	8	338
100	10	percentile_75	9	339
100	10	percentile_75	10	340
100	10	percentile_75	11	341
100	10	percentile_90	1	342
100	10	percentile_90	2	343
100	10	percentile_90	3	344
100	10	percentile_90	4	345
100	10	percentile_90	5	346
100	10	percentile_90	6	347
100	10	percentile_90	7	348
100	10	percentile_90	8	349
100	10	percentile_90	9	350
100	10	percentile_90	10	351
100	10	percentile_90	11	352
100	10	percentile_95	1	353
100	10	percentile_95	2	354
100	10	percentile_95	3	355
100	10	percentile_95	4	356
100	10	percentile_95	5	357
100	10	percentile_95	6	358
100	10	percentile_95	7	359
100	10	percentile_95	8	360
100	10	percentile_95	9	361
100	10	percentile_95	10	362
100	10	percentile_95	11	363
100	12	percentile_75	1	364
100	12	percentile_75	2	365
100	12	percentile_75	3	366
100	12	percentile_75	4	367
100	12	percentile_75	5	368
100	12	percentile_75	6	369
100	12	percentile_75	7	370
100	12	percentile_75	8	371
100	12	percentile_75	9	372
100	12	percentile_75	10	373
100	12	percentile_75	11	374
100	12	percentile_90	1	375
100	12	percentile_90	2	376
100	12	percentile_90	3	377
100	12	percentile_90	4	378
100	12	percentile_90	5	379
100	12	percentile_90	6	380
100	12	percentile_90	7	381
100	12	percentile_90	8	382
100	12	percentile_90	9	383
100	12	percentile_90	10	384
100	12	percentile_90	11	385
100	12	percentile_95	1	386
100	12	percentile_95	2	387
100	12	percentile_95	3	388
100	12	percentile_95	4	389
100	12	percentile_95	5	390
100	12	percentile_95	6	391
100	12	percentile_95	7	392
100	12	percentile_95	8	393
100	12	percentile_95	9	394
100	12	percentile_95	10	395
100	12	percentile_95	11	396
100	14	percentile_75	1	397
100	14	percentile_75	2	398
100	14	percentile_75	3	399
100	14	percentile_75	4	400
100	14	percentile_75	5	401
100	14	percentile_75	6	402
100	14	percentile_75	7	403
100	14	percentile_75	8	404
100	14	percentile_75	9	405
100	14	percentile_75	10	406
100	14	percentile_75	11	407
100	14	percentile_90	1	408
100	14	percentile_90	2	409
100	14	percentile_90	3	410
100	14	percentile_90	4	411
100	14	percentile_90	5	412
100	14	percentile_90	6	413
100	14	percentile_90	7	414
100	14	percentile_90	8	415
100	14	percentile_90	9	416
100	14	percentile_90	10	417
100	14	percentile_90	11	418
100	14	percentile_95	1	419
100	14	percentile_95	2	420
100	14	percentile_95	3	421
100	14	percentile_95	4	422
100	14	percentile_95	5	423
100	14	percentile_95	6	424
100	14	percentile_95	7	425
100	14	percentile_95	8	426
100	14	percentile_95	9	427
100	14	percentile_95	10	428
100	14	percentile_95	11	429
100	16	percentile_75	1	430
100	16	percentile_75	2	431
100	16	percentile_75	3	432
100	16	percentile_75	4	433
100	16	percentile_75	5	434
100	16	percentile_75	6	435
100	16	percentile_75	7	436
100	16	percentile_75	8	437
100	16	percentile_75	9	438
100	16	percentile_75	10	439
100	16	percentile_75	11	440
100	16	percentile_90	1	441
100	16	percentile_90	2	442
100	16	percentile_90	3	443
100	16	percentile_90	4	444
100	16	percentile_90	5	445
100	16	percentile_90	6	446
100	16	percentile_90	7	447
100	16	percentile_90	8	448
100	16	percentile_90	9	449
100	16	percentile_90	10	450
100	16	percentile_90	11	451
100	16	percentile_95	1	452
100	16	percentile_95	2	453
100	16	percentile_95	3	454
100	16	percentile_95	4	455
100	16	percentile_95	5	456
100	16	percentile_95	6	457
100	16	percentile_95	7	458
100	16	percentile_95	8	459
100	16	percentile_95	9	460
100	16	percentile_95	10	461
100	16	percentile_95	11	462
200	4	percentile_75	1	463
200	4	percentile_75	2	464
200	4	percentile_75	3	465
200	4	percentile_75	4	466
200	4	percentile_75	5	467
200	4	percentile_75	6	468
200	4	percentile_75	7	469
200	4	percentile_75	8	470
200	4	percentile_75	9	471
200	4	percentile_75	10	472
200	4	percentile_75	11	473
200	4	percentile_90	1	474
200	4	percentile_90	2	475
200	4	percentile_90	3	476
200	4	percentile_90	4	477
200	4	percentile_90	5	478
200	4	percentile_90	6	479
200	4	percentile_90	7	480
200	4	percentile_90	8	481
200	4	percentile_90	9	482
200	4	percentile_90	10	483
200	4	percentile_90	11	484
200	4	percentile_95	1	485
200	4	percentile_95	2	486
200	4	percentile_95	3	487
200	4	percentile_95	4	488
200	4	percentile_95	5	489
200	4	percentile_95	6	490
200	4	percentile_95	7	491
200	4	percentile_95	8	492
200	4	percentile_95	9	493
200	4	percentile_95	10	494
200	4	percentile_95	11	495
200	6	percentile_75	1	496
200	6	percentile_75	2	497
200	6	percentile_75	3	498
200	6	percentile_75	4	499
200	6	percentile_75	5	500
200	6	percentile_75	6	501
200	6	percentile_75	7	502
200	6	percentile_75	8	503
200	6	percentile_75	9	504
200	6	percentile_75	10	505
200	6	percentile_75	11	506
200	6	percentile_90	1	507
200	6	percentile_90	2	508
200	6	percentile_90	3	509
200	6	percentile_90	4	510
200	6	percentile_90	5	511
200	6	percentile_90	6	512
200	6	percentile_90	7	513
200	6	percentile_90	8	514
200	6	percentile_90	9	515
200	6	percentile_90	10	516
200	6	percentile_90	11	517
200	6	percentile_95	1	518
200	6	percentile_95	2	519
200	6	percentile_95	3	520
200	6	percentile_95	4	521
200	6	percentile_95	5	522
200	6	percentile_95	6	523
200	6	percentile_95	7	524
200	6	percentile_95	8	525
200	6	percentile_95	9	526
200	6	percentile_95	10	527
200	6	percentile_95	11	528
200	8	percentile_75	1	529
200	8	percentile_75	2	530
200	8	percentile_75	3	531
200	8	percentile_75	4	532
200	8	percentile_75	5	533
200	8	percentile_75	6	534
200	8	percentile_75	7	535
200	8	percentile_75	8	536
200	8	percentile_75	9	537
200	8	percentile_75	10	538
200	8	percentile_75	11	539
200	8	percentile_90	1	540
200	8	percentile_90	2	541
200	8	percentile_90	3	542
200	8	percentile_90	4	543
200	8	percentile_90	5	544
200	8	percentile_90	6	545
200	8	percentile_90	7	546
200	8	percentile_90	8	547
200	8	percentile_90	9	548
200	8	percentile_90	10	549
200	8	percentile_90	11	550
200	8	percentile_95	1	551
200	8	percentile_95	2	552
200	8	percentile_95	3	553
200	8	percentile_95	4	554
200	8	percentile_95	5	555
200	8	percentile_95	6	556
200	8	percentile_95	7	557
200	8	percentile_95	8	558
200	8	percentile_95	9	559
200	8	percentile_95	10	560
200	8	percentile_95	11	561
200	10	percentile_75	1	562
200	10	percentile_75	2	563
200	10	percentile_75	3	564
200	10	percentile_75	4	565
200	10	percentile_75	5	566
200	10	percentile_75	6	567
200	10	percentile_75	7	568
200	10	percentile_75	8	569
200	10	percentile_75	9	570
200	10	percentile_75	10	571
200	10	percentile_75	11	572
200	10	percentile_90	1	573
200	10	percentile_90	2	574
200	10	percentile_90	3	575
200	10	percentile_90	4	576
200	10	percentile_90	5	577
200	10	percentile_90	6	578
200	10	percentile_90	7	579
200	10	percentile_90	8	580
200	10	percentile_90	9	581
200	10	percentile_90	10	582
200	10	percentile_90	11	583
200	10	percentile_95	1	584
200	10	percentile_95	2	585
200	10	percentile_95	3	586
200	10	percentile_95	4	587
200	10	percentile_95	5	588
200	10	percentile_95	6	589
200	10	percentile_95	7	590
200	10	percentile_95	8	591
200	10	percentile_95	9	592
200	10	percentile_95	10	593
200	10	percentile_95	11	594
200	12	percentile_75	1	595
200	12	percentile_75	2	596
200	12	percentile_75	3	597
200	12	percentile_75	4	598
200	12	percentile_75	5	599
200	12	percentile_75	6	600
200	12	percentile_75	7	601
200	12	percentile_75	8	602
200	12	percentile_75	9	603
200	12	percentile_75	10	604
200	12	percentile_75	11	605
200	12	percentile_90	1	606
200	12	percentile_90	2	607
200	12	percentile_90	3	608
200	12	percentile_90	4	609
200	12	percentile_90	5	610
200	12	percentile_90	6	611
200	12	percentile_90	7	612
200	12	percentile_90	8	613
200	12	percentile_90	9	614
200	12	percentile_90	10	615
200	12	percentile_90	11	616
200	12	percentile_95	1	617
200	12	percentile_95	2	618
200	12	percentile_95	3	619
200	12	percentile_95	4	620
200	12	percentile_95	5	621
200	12	percentile_95	6	622
200	12	percentile_95	7	623
200	12	percentile_95	8	624
200	12	percentile_95	9	625
200	12	percentile_95	10	626
200	12	percentile_95	11	627
200	14	percentile_75	1	628
200	14	percentile_75	2	629
200	14	percentile_75	3	630
200	14	percentile_75	4	631
200	14	percentile_75	5	632
200	14	percentile_75	6	633
200	14	percentile_75	7	634
200	14	percentile_75	8	635
200	14	percentile_75	9	636
200	14	percentile_75	10	637
200	14	percentile_75	11	638
200	14	percentile_90	1	639
200	14	percentile_90	2	640
200	14	percentile_90	3	641
200	14	percentile_90	4	642
200	14	percentile_90	5	643
200	14	percentile_90	6	644
200	14	percentile_90	7	645
200	14	percentile_90	8	646
200	14	percentile_90	9	647
200	14	percentile_90	10	648
200	14	percentile_90	11	649
200	14	percentile_95	1	650
200	14	percentile_95	2	651
200	14	percentile_95	3	652
200	14	percentile_95	4	653
200	14	percentile_95	5	654
200	14	percentile_95	6	655
200	14	percentile_95	7	656
200	14	percentile_95	8	657
200	14	percentile_95	9	658
200	14	percentile_95	10	659
200	14	percentile_95	11	660
200	16	percentile_75	1	661
200	16	percentile_75	2	662
200	16	percentile_75	3	663
200	16	percentile_75	4	664
200	16	percentile_75	5	665
200	16	percentile_75	6	666
200	16	percentile_75	7	667
200	16	percentile_75	8	668
200	16	percentile_75	9	669
200	16	percentile_75	10	670
200	16	percentile_75	11	671
200	16	percentile_90	1	672
200	16	percentile_90	2	673
200	16	percentile_90	3	674
200	16	percentile_90	4	675
200	16	percentile_90	5	676
